ID,Category,Final_Score,Matched_Skills,Missing_Skills,Explanation
29051656,INFORMATION-TECHNOLOGY,32.77168210347493,"['aws', 'sql']","['python', 'machine learning', 'deep learning', 'tensorflow']","

Final Score: 32.77

Matched Skills: 2

Missing Skills: 4

The candidate demonstrates strong alignment with the job description based on semantic similarity and skill matching.

"
20824105,INFORMATION-TECHNOLOGY,32.54928334554036,"['python', 'aws']","['machine learning', 'deep learning', 'tensorflow', 'sql']","

Final Score: 32.55

Matched Skills: 2

Missing Skills: 4

The candidate demonstrates strong alignment with the job description based on semantic similarity and skill matching.

"
12415691,DESIGNER,27.387943585713703,"['python', 'sql']","['machine learning', 'deep learning', 'tensorflow', 'aws']","

Final Score: 27.39

Matched Skills: 2

Missing Skills: 4

The candidate demonstrates strong alignment with the job description based on semantic similarity and skill matching.

"
16186411,INFORMATION-TECHNOLOGY,25.72881189982096,['sql'],"['python', 'machine learning', 'deep learning', 'tensorflow', 'aws']","

Final Score: 25.73

Matched Skills: 1

Missing Skills: 5

The candidate demonstrates strong alignment with the job description based on semantic similarity and skill matching.

"
26746496,INFORMATION-TECHNOLOGY,25.56176630655924,['sql'],"['python', 'machine learning', 'deep learning', 'tensorflow', 'aws']","

Final Score: 25.56

Matched Skills: 1

Missing Skills: 5

The candidate demonstrates strong alignment with the job description based on semantic similarity and skill matching.

"
79541391,INFORMATION-TECHNOLOGY,25.31959025065104,['sql'],"['python', 'machine learning', 'deep learning', 'tensorflow', 'aws']","

Final Score: 25.32

Matched Skills: 1

Missing Skills: 5

The candidate demonstrates strong alignment with the job description based on semantic similarity and skill matching.

"
83816738,INFORMATION-TECHNOLOGY,25.20938714345296,"['aws', 'sql']","['python', 'machine learning', 'deep learning', 'tensorflow']","

Final Score: 25.21

Matched Skills: 2

Missing Skills: 4

The candidate demonstrates strong alignment with the job description based on semantic similarity and skill matching.

"
30223363,INFORMATION-TECHNOLOGY,24.984733263651528,['sql'],"['python', 'machine learning', 'deep learning', 'tensorflow', 'aws']","

Final Score: 24.98

Matched Skills: 1

Missing Skills: 5

The candidate demonstrates strong alignment with the job description based on semantic similarity and skill matching.

"
33381211,INFORMATION-TECHNOLOGY,24.14412911732992,"['aws', 'sql']","['python', 'machine learning', 'deep learning', 'tensorflow']","

Final Score: 24.14

Matched Skills: 2

Missing Skills: 4

The candidate demonstrates strong alignment with the job description based on semantic similarity and skill matching.

"
13385306,INFORMATION-TECHNOLOGY,24.125565210978188,['sql'],"['python', 'machine learning', 'deep learning', 'tensorflow', 'aws']","

Final Score: 24.13

Matched Skills: 1

Missing Skills: 5

The candidate demonstrates strong alignment with the job description based on semantic similarity and skill matching.

"
20001721,INFORMATION-TECHNOLOGY,24.001579920450844,['sql'],"['python', 'machine learning', 'deep learning', 'tensorflow', 'aws']","

Final Score: 24.0

Matched Skills: 1

Missing Skills: 5

The candidate demonstrates strong alignment with the job description based on semantic similarity and skill matching.

"
20674668,INFORMATION-TECHNOLOGY,23.815724690755207,"['python', 'sql']","['machine learning', 'deep learning', 'tensorflow', 'aws']","

Final Score: 23.82

Matched Skills: 2

Missing Skills: 4

The candidate demonstrates strong alignment with the job description based on semantic similarity and skill matching.

"
